Central Point: 0, -0.0024993, 5.76215
Frontmost Point: 1.03159, 1.55719e-08, 0
Backmost Point: -0.960269, -2.52976e-08, 180
Leftmost Point: 0, 0.993088, 90
Rightmost Point: -2.24817e-08, -0.983429, 270
Whole control space:
0 1.0311 -6.488e-08
5 1.0329 0.11124
10 1.0307 0.17793
15 1.0295 0.27997
20 1.0322 0.37479
25 1.0312 0.48041
30 0.99555 0.57435
35 0.93346 0.6615
40 0.88463 0.73797
45 0.8172 0.81347
50 0.72783 0.86668
55 0.6471 0.92488
60 0.56573 0.97566
65 0.46167 0.99699
70 0.36195 0.99209
75 0.26736 0.98899
80 0.17708 1.0025
85 0.11258 1.0026
90 1.4424e-07 0.99648
95 -0.11428 0.99519
100 -0.16651 0.98961
105 -0.26459 0.98975
110 -0.36909 0.99862
115 -0.47806 1.005
120 -0.55547 0.96604
125 -0.64204 0.91914
130 -0.73044 0.86225
135 -0.79843 0.80338
140 -0.86698 0.73196
145 -0.94122 0.65173
150 -0.95926 0.55827
155 -0.95955 0.44533
160 -0.96061 0.3486
165 -0.95987 0.26009
170 -0.95952 0.16772
175 -0.95869 0.10627
180 -0.96009 2.0395e-08
185 -0.96157 -0.10856
190 -0.95982 -0.17873
195 -0.96074 -0.2631
200 -0.96039 -0.35147
205 -0.95962 -0.4501
210 -0.95967 -0.54859
215 -0.94586 -0.65917
220 -0.8838 -0.73512
225 -0.79997 -0.80373
230 -0.72505 -0.86564
235 -0.64438 -0.90364
240 -0.54554 -0.95494
245 -0.46597 -0.98235
250 -0.35804 -0.98259
255 -0.26142 -0.9834
260 -0.14528 -0.9823
265 -0.10981 -0.98354
270 -1.0189e-07 -0.98311
275 0.10968 -0.98319
280 0.19258 -0.98329
285 0.24349 -0.98306
290 0.35353 -0.98054
295 0.44461 -0.95325
300 0.53063 -0.9131
305 0.60647 -0.86612
310 0.68004 -0.81736
315 0.76858 -0.76493
320 0.83374 -0.69681
325 0.89738 -0.6213
330 0.95861 -0.54953
335 1.0135 -0.47207
340 1.0315 -0.37624
345 1.0276 -0.28461
350 1.0339 -0.18083
355 1.0281 -0.11082
