DATA FILE: ref2.txt

--------------------------------------------

TIME    X_x      X_y      X_theta     U_v      U_w

0.0     0.00    0.00    0.00    1.00    0.00
1.0     1.00    0.00    0.00    1.00    0.00
2.0     2.00    0.00    0.00    1.00    0.00
3.0     3.00    0.00    0.00    1.00    0.00
4.0     4.00    0.00    0.00    1.00    0.00
5.0     5.00    0.00    0.00    1.00    0.00
6.0     6.00    0.00    0.00    1.00    0.00
7.0     7.00    0.00    0.00    1.00    0.00
8.0     8.00    0.00    0.00    1.00    0.00
9.0     9.00    0.00    0.00    1.00    0.00
--------------------------------------------
